type,step,key,value
metric,10,validation.tail.realistic.inverse_median_rank,0.0018903592135757208
metric,10,validation.both.realistic.inverse_median_rank,0.0005102040595375001
metric,10,validation.head.pessimistic.inverse_median_rank,0.00020723241114910373
metric,10,validation.tail.pessimistic.inverse_median_rank,0.001890359168241966
metric,10,validation.both.pessimistic.inverse_median_rank,0.0005102040816326531
metric,10,validation.head.optimistic.adjusted_arithmetic_mean_rank_index,0.3738978601125733
metric,10,validation.tail.optimistic.adjusted_arithmetic_mean_rank_index,0.7109053182605671
metric,10,validation.both.optimistic.adjusted_arithmetic_mean_rank_index,0.5426087339115507
metric,10,validation.head.realistic.adjusted_arithmetic_mean_rank_index,0.37389770955813706
metric,10,validation.tail.realistic.adjusted_arithmetic_mean_rank_index,0.7109051666607392
metric,10,validation.both.realistic.adjusted_arithmetic_mean_rank_index,0.5426085608728274
metric,10,validation.head.pessimistic.adjusted_arithmetic_mean_rank_index,0.3738975759032974
metric,10,validation.tail.pessimistic.adjusted_arithmetic_mean_rank_index,0.7109050347492007
metric,10,validation.both.pessimistic.adjusted_arithmetic_mean_rank_index,0.5426084500516586
metric,10,validation.head.optimistic.adjusted_arithmetic_mean_rank,0.6261358111287466
metric,10,validation.tail.optimistic.adjusted_arithmetic_mean_rank,0.2891585448744474
metric,10,validation.both.optimistic.adjusted_arithmetic_mean_rank,0.4574400704640876
metric,10,validation.head.realistic.adjusted_arithmetic_mean_rank,0.6261359616696248
metric,10,validation.tail.realistic.adjusted_arithmetic_mean_rank,0.2891586964606565
metric,10,validation.both.realistic.adjusted_arithmetic_mean_rank,0.4574402434872471
metric,10,validation.head.pessimistic.adjusted_arithmetic_mean_rank,0.6261360953124281
metric,10,validation.tail.pessimistic.adjusted_arithmetic_mean_rank,0.28915882836034495
metric,10,validation.both.pessimistic.adjusted_arithmetic_mean_rank,0.4574403542984482
metric,10,validation.head.optimistic.z_inverse_harmonic_mean_rank,225.78440803002863
metric,10,validation.tail.optimistic.z_inverse_harmonic_mean_rank,458.51582470737975
metric,10,validation.both.optimistic.z_inverse_harmonic_mean_rank,483.7706613072407
metric,10,validation.head.realistic.z_inverse_harmonic_mean_rank,225.78441974591505
metric,10,validation.tail.realistic.z_inverse_harmonic_mean_rank,458.5158238954698
metric,10,validation.both.realistic.z_inverse_harmonic_mean_rank,483.77063626163545
metric,10,validation.head.pessimistic.z_inverse_harmonic_mean_rank,225.78440785402123
metric,10,validation.tail.pessimistic.z_inverse_harmonic_mean_rank,458.515814513478
metric,10,validation.both.pessimistic.z_inverse_harmonic_mean_rank,483.7706539790246
metric,10,validation.head.optimistic.inverse_geometric_mean_rank,0.0005151908984284794
metric,10,validation.tail.optimistic.inverse_geometric_mean_rank,0.002882674877825328
metric,10,validation.both.optimistic.inverse_geometric_mean_rank,0.0012186582212351579
metric,10,validation.head.realistic.inverse_geometric_mean_rank,0.0005151912337169051
metric,10,validation.tail.realistic.inverse_geometric_mean_rank,0.0028826717752963305
metric,10,validation.both.realistic.inverse_geometric_mean_rank,0.0012186577077955008
metric,10,validation.head.pessimistic.inverse_geometric_mean_rank,0.0005151907543692665
metric,10,validation.tail.pessimistic.inverse_geometric_mean_rank,0.002882670060097809
metric,10,validation.both.pessimistic.inverse_geometric_mean_rank,0.0012186570324990904
metric,10,validation.head.optimistic.count,2852.0
metric,10,validation.tail.optimistic.count,2852.0
metric,10,validation.both.optimistic.count,5704.0
metric,10,validation.head.realistic.count,2852.0
metric,10,validation.tail.realistic.count,2852.0
metric,10,validation.both.realistic.count,5704.0
metric,10,validation.head.pessimistic.count,2852.0
metric,10,validation.tail.pessimistic.count,2852.0
metric,10,validation.both.pessimistic.count,5704.0
metric,10,validation.head.optimistic.inverse_arithmetic_mean_rank,0.00014382606688103744
metric,10,validation.tail.optimistic.inverse_arithmetic_mean_rank,0.0003106722339305277
metric,10,validation.both.optimistic.inverse_arithmetic_mean_rank,0.00019662456566102256
metric,10,validation.head.realistic.inverse_arithmetic_mean_rank,0.00014382603694684803
metric,10,validation.tail.realistic.inverse_arithmetic_mean_rank,0.0003106720687355846
metric,10,validation.both.realistic.inverse_arithmetic_mean_rank,0.00019662448903545737
metric,10,validation.head.pessimistic.inverse_arithmetic_mean_rank,0.0001438260016028631
metric,10,validation.tail.pessimistic.inverse_arithmetic_mean_rank,0.00031067192935329044
metric,10,validation.both.pessimistic.inverse_arithmetic_mean_rank,0.00019662444365865144
metric,10,validation.head.optimistic.standard_deviation,6666.300525040228
metric,10,validation.tail.optimistic.standard_deviation,5174.402032688698
metric,10,validation.both.optimistic.standard_deviation,6252.417025118409
metric,10,validation.head.realistic.standard_deviation,6666.30224609375
metric,10,validation.tail.realistic.standard_deviation,5174.40234375
metric,10,validation.both.realistic.standard_deviation,6252.41796875
metric,10,validation.head.pessimistic.standard_deviation,6666.303094898756
metric,10,validation.tail.pessimistic.standard_deviation,5174.402830258138
metric,10,validation.both.pessimistic.standard_deviation,6252.418725132567
metric,10,validation.head.optimistic.adjusted_geometric_mean_rank_index,0.7626066904710093
metric,10,validation.tail.optimistic.adjusted_geometric_mean_rank_index,0.9577784101455441
metric,10,validation.both.optimistic.adjusted_geometric_mean_rank_index,0.8998274614220199
metric,10,validation.head.realistic.adjusted_geometric_mean_rank_index,0.7626068402144884
metric,10,validation.tail.realistic.adjusted_geometric_mean_rank_index,0.9577783660589214
metric,10,validation.both.realistic.adjusted_geometric_mean_rank_index,0.8998274202625289
metric,10,validation.head.pessimistic.adjusted_geometric_mean_rank_index,0.7626066240561503
metric,10,validation.tail.pessimistic.adjusted_geometric_mean_rank_index,0.9577783393777568
metric,10,validation.both.pessimistic.adjusted_geometric_mean_rank_index,0.8998273635897343
metric,10,validation.head.optimistic.median_rank,4825.5
metric,10,validation.tail.optimistic.median_rank,529.0
metric,10,validation.both.optimistic.median_rank,1960.0
metric,10,validation.head.realistic.median_rank,4825.5
metric,10,validation.tail.realistic.median_rank,529.0
metric,10,validation.both.realistic.median_rank,1960.0
metric,10,validation.head.pessimistic.median_rank,4825.5
metric,10,validation.tail.pessimistic.median_rank,529.0
metric,10,validation.both.pessimistic.median_rank,1960.0
metric,10,validation.head.optimistic.harmonic_mean_rank,27.168262042800635
metric,10,validation.tail.optimistic.harmonic_mean_rank,13.483725099729224
metric,10,validation.both.optimistic.harmonic_mean_rank,18.02270455011928
metric,10,validation.head.realistic.harmonic_mean_rank,27.16826057434082
metric,10,validation.tail.realistic.harmonic_mean_rank,13.483725547790527
metric,10,validation.both.realistic.harmonic_mean_rank,18.022705078125
metric,10,validation.head.pessimistic.harmonic_mean_rank,27.16826206370504
metric,10,validation.tail.pessimistic.harmonic_mean_rank,13.48372539758224
metric,10,validation.both.pessimistic.harmonic_mean_rank,18.02270482078662
metric,10,validation.head.optimistic.inverse_harmonic_mean_rank,0.036807654402943
metric,10,validation.tail.optimistic.inverse_harmonic_mean_rank,0.07416348172361373
metric,10,validation.both.optimistic.inverse_harmonic_mean_rank,0.05548556806327837
metric,10,validation.head.realistic.inverse_harmonic_mean_rank,0.03680765628814697
